"Taxa2","Boot","Buffalo","Camel","Cattle","DikDik","Donkey","Eland","Elephant","Giraffe","Grants gazelle","Grevys zebra","Hartebeest","Hippo","Impala","Kudu","Oryx","Plains zebra","Warthog"
"Chabertiidae 68",96,0,0,0,0.05,0,0.01,0,0,0,0,0,0,0,0,0,0,0
"Cooperia 1",100,0.42,0.03,0.01,0.08,0.02,0.01,0.01,0.14,0.02,0.01,0.13,0.01,0.23,0.02,0.21,0.01,0
"Cooperia curticei 10",98,0.14,0.01,0,0.02,0.01,0,0,0.03,0,0,0.03,0,0.01,0,0.03,0,0
"Cooperia fuelleborni 139",92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cooperia fuelleborni 35",87,0.01,0,0,0.01,0,0,0,0.02,0,0,0.02,0,0.08,0.01,0.05,0,0
"Cooperia fuelleborni 5",98,0.03,0.2,0,0.08,0,0.69,0.02,0.17,0.04,0,0.02,0.04,0.07,0.5,0.02,0,0
"Cooperia pectinata 15",100,0.05,0.03,0.38,0.06,0.01,0,0,0.02,0.01,0,0.18,0,0.01,0.01,0.02,0.01,0.01
"Cooperia spatulata 48",87,0.01,0.02,0.12,0,0,0,0,0,0,0,0.02,0,0,0,0.01,0,0
"Craterostomum acuticaudatum 39",100,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0.02,0
"Cyathostomum pateratum 57",85,0,0,0,0,0.07,0,0,0,0,0.01,0,0,0,0,0,0.01,0
"Cylicocyclus adersi 24",100,0,0,0,0,0,0,0,0,0,0.11,0,0,0,0,0,0.01,0
"Cylicocyclus auriculatus 62",84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0
"Cylicocyclus auriculatus 63",96,0,0,0,0,0.01,0,0,0,0,0.01,0,0,0,0,0,0.01,0
"Cylicostephanus bidentatus 22",100,0,0,0,0,0.02,0,0,0,0,0.09,0,0,0,0,0,0.12,0
"Cylicostephanus minutus 20",100,0,0.02,0,0.01,0.55,0.03,0,0.02,0,0.05,0.01,0,0.01,0.01,0,0.14,0
"Haemonchidae 32",90,0,0,0,0,0,0,0,0,0.01,0,0,0.85,0,0,0,0,0
"Haemonchidae 40",88,0,0,0,0,0,0,0,0.01,0,0,0,0,0.1,0,0,0,0
"Haemonchidae 42",86,0,0,0,0,0,0,0,0.01,0,0,0,0,0.02,0,0.01,0,0
"Haemonchidae 47",90,0,0,0,0.04,0,0,0,0,0,0,0,0,0.01,0,0,0,0
"Haemonchus 25",100,0.01,0.01,0,0.13,0,0.16,0,0.1,0,0,0,0,0,0.05,0,0,0
"Haemonchus 29",100,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29,0,0,0
