"Predictor","MCMC Prevalence","eff.samp.prev","TMB Prevalence","MCMC Richness","eff.samp.rich","TMB Richness"
"(Intercept)","0.585 (0.762)",1781.417,"0.318, 1.187","2.817 (0.001)",1960,"2.842, 0.223"
"(Intercept)","-3.218, 4.258",1781.417,"0.268 (0.789)","2.023, 3.665",1960,"12.757 (0)"
"log(BM_KG)","-0.057 (0.815)",1960,"-0.113, 0.213","-0.007 (0.88)",1960,"-0.008, 0.04"
"log(BM_KG)","-0.627, 0.57",1960,"-0.531 (0.596)","-0.112, 0.094",1960,"-0.209 (0.834)"
"GS","0.119 (0.159)",1815.727,"0.102, 0.06","0.004 (0.744)",1960,"0.005, 0.011"
"GS","-0.06, 0.288",1815.727,"1.697 (0.09)","-0.022, 0.03",1960,"0.415 (0.678)"
"GUTHG","1.336 (0.363)",1960,"2.013, 0.767","-0.066 (0.807)",2357.151,"-0.076, 0.135"
"GUTHG","-1.983, 4.189",1960,"2.625 (0.009)","-0.589, 0.474",2357.151,"-0.565 (0.572)"
"UNDERSTORY_PROP","0.101 (0.873)",1724.835,"-0.028, 0.564","0.11 (0.418)",1960,"0.181, 0.083"
"UNDERSTORY_PROP","-1.187, 1.527",1724.835,"-0.05 (0.96)","-0.147, 0.372",1960,"2.177 (0.029)"
"phylo","7.732",868.618,"","0.11",1836.63,""
"phylo","0, 22.725",868.618,"","0.003, 0.35",1836.63,""
"MSW93_Binomial","1.804",1165.699,"","0.04",1960,""
"MSW93_Binomial","0, 5.795",1165.699,"1.14","0.003, 0.106",1960,"1.14"
"Period","1.051",1742.453,"","0.016",1960,""
"Period","0, 3.926",1742.453,"0.07","0.002, 0.043",1960,"0.07"
