"Predictor","MCMC PD","eff.samp.prev","TMB PD","MCMC sesPD","eff.samp.rich","TMB sesPD"
"(Intercept)","0.71 (0.017)",1960,"0.648, 0.134","-1.117 (0.372)",1960,"-1.391, 0.772"
"(Intercept)","0.181, 1.338",1960,"4.842 (0)","-3.743, 1.642",1960,"-1.801 (0.072)"
"GUTHG","-0.173 (0.314)",1960,"-0.103, 0.077","-0.621 (0.496)",1960,"-0.98, 0.464"
"GUTHG","-0.568, 0.178",1960,"-1.339 (0.181)","-2.584, 1.187",1960,"-2.112 (0.035)"
"UNDERSTORY_PROP","0.033 (0.745)",1576.521,"-0.078, 0.09","0.374 (0.285)",1621.227,"0.233, 0.362"
"UNDERSTORY_PROP","-0.143, 0.222",1576.521,"-0.864 (0.388)","-0.327, 1.097",1621.227,"0.642 (0.521)"
"GS","-0.004 (0.669)",1960,"-0.003, 0.006","-0.056 (0.113)",1960,"-0.062, 0.038"
"GS","-0.023, 0.014",1960,"-0.537 (0.592)","-0.127, 0.015",1960,"-1.644 (0.1)"
"log(BM_KG)","-0.015 (0.673)",2602.594,"-0.004, 0.021","0.015 (0.906)",2176.148,"0.081, 0.136"
"log(BM_KG)","-0.089, 0.054",2602.594,"-0.167 (0.867)","-0.265, 0.34",2176.148,"0.594 (0.552)"
"phylo","0.048",1960,"","1.684",1773.419,""
"phylo","0.002, 0.139",1960,"","0.006, 3.912",1773.419,""
"MSW93_Binomial","0.018",1960,"","0.151",1960,""
"MSW93_Binomial","0.002, 0.046",1960,"0.008","0.002, 0.634",1960,"0.008"
"Period","0.015",1960,"","0.073",1960,""
"Period","0.002, 0.042",1960,"0.001","0.002, 0.266",1960,"0.001"
