"Predictor","MCMC PD","eff.samp.prev","TMB PD","MCMC sesPD","eff.samp.rich","TMB sesPD"
"(Intercept)","1.315 (0.001)",2027.191,"1.401, 0.129","-0.23 (0.665)",1986.483,"-0.147, 0.32"
"(Intercept)","0.673, 1.854",2027.191,"10.899 (0)","-1.515, 0.885",1986.483,"-0.459 (0.646)"
"GUTHG","-0.115 (0.498)",2131.6,"-0.088, 0.078","-0.396 (0.278)",2240.745,"-0.559, 0.191"
"GUTHG","-0.488, 0.262",2131.6,"-1.141 (0.254)","-1.141, 0.429",2240.745,"-2.922 (0.003)"
"UNDERSTORY_PROP","0.068 (0.541)",1960,"0.007, 0.084","0.085 (0.715)",1870.758,"0.101, 0.207"
"UNDERSTORY_PROP","-0.129, 0.292",1960,"0.084 (0.933)","-0.42, 0.529",1870.758,"0.488 (0.625)"
"GS","-0.002 (0.858)",1960,"-0.001, 0.006","-0.034 (0.073)",1960,"-0.036, 0.015"
"GS","-0.021, 0.017",1960,"-0.1 (0.92)","-0.074, 0.004",1960,"-2.33 (0.02)"
"log(BM_KG)","-0.015 (0.671)",1960,"-0.018, 0.021","-0.041 (0.577)",1960,"-0.033, 0.054"
"log(BM_KG)","-0.094, 0.051",1960,"-0.858 (0.391)","-0.195, 0.111",1960,"-0.603 (0.547)"
"phylo","0.05",1960,"","0.206",2350.844,""
"phylo","0.002, 0.157",1960,"","0.003, 0.743",2350.844,""
"MSW93_Binomial","0.019",1960,"","0.075",1960,""
"MSW93_Binomial","0.002, 0.049",1960,"0.007","0.002, 0.214",1960,"0.007"
"Period","0.015",1960,"","0.049",1740.568,""
"Period","0.002, 0.042",1960,"0.001","0.002, 0.157",1740.568,"0.001"
